name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
Dallas Baptist University,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3435,24,5,19,64,31,33,554,178,376,421,146,275,6,3,3,2109,939,1170,0,0,0,0,0,0
Dallas Barber & Stylist College,,,,,,,,,,,,,,,,,,,,,,,,,,158,0,0,0,0,0,0,113,70,43,30,30,0,0,0,0,15,15,0,0,0,0,0,0,0
Dallas Christian College,,,,,,,,,,,,,,,,,,,,,,,,,,316,6,4,2,0,0,0,80,49,31,58,34,24,1,1,0,155,89,66,11,5,6,4,2,2
Dallas County Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Institute of Funeral Service,,,,,,,,,,,,,,,,,,,,,,,,,,114,0,0,0,0,0,0,36,17,19,26,8,18,0,0,0,52,27,25,0,0,0,0,0,0
Dallas Nursing Institute,,,,,,,,,,,,,,,,,,,,,,,,,,169,1,0,1,7,2,5,116,18,98,11,1,10,0,0,0,22,3,19,3,0,3,9,4,5
Dallas Theological Seminary,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37,35,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Del Mar College,191,0,0,0,5,5,0,5,1,4,49,22,27,0,0,0,132,79,53,0,0,0,0,0,0,10502,38,12,26,168,75,93,327,141,186,6612,2838,3774,20,12,8,2882,1272,1610,265,121,144,176,80,96
Deluxe Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVry University-Texas,,,,,,,,,,,,,,,,,,,,,,,,,,2486,11,5,6,71,50,21,721,349,372,604,355,249,12,6,6,639,460,179,26,14,12,359,213,146
Diamonds Cosmetology College,,,,,,,,,,,,,,,,,,,,,,,,,,41,4,1,3,0,0,0,13,3,10,3,0,3,0,0,0,21,1,20,0,0,0,0,0,0
DuVall's School of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,0,1,3,0,3,7,1,6,12,0,12,0,0,0,63,0,63,3,0,3,2,0,2
East Texas Baptist University,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1196,7,2,5,5,3,2,224,122,102,140,64,76,3,1,2,757,345,412,37,19,18,10,5,5
Eastfield College,,,,,,,,,,,,,,,,,,,,,,,,,,14529,68,25,43,577,281,296,3725,1186,2539,5702,2422,3280,14,6,8,3935,1678,2257,132,56,76,357,170,187
El Centro College,,,,,,,,,,,,,,,,,,,,,,,,,,10771,40,11,29,477,186,291,3286,1090,2196,4313,1506,2807,6,3,3,2223,818,1405,88,25,63,312,115,197
