name,tenured_total,ind_tenured,ind_men_tenured,ind_women_tenured,asian_tenured,asian_men_tenured,asian_women_tenured,black_tenured,black_men_tenured,black_women_tenured,his_tenured,his_men_tenured,his_women_tenured,pi_tenured,pi_men_tenured,pi_women_tenured,white_tenured,white_men_tenured,white_women_tenured,multi_tenured,multi_men_tenured,multi_women_tenured,unknown_tenured,unknown_men_tenured,unknown_women_tenured,student_total,ind_student,ind_men_student,ind_women_student,asian_student,asian_men_student,asian_women_student,black_student,black_men_student,black_women_student,his_student,his_men_student,his_women_student,pi_student,pi_men_student,pi_women_student,white_student,white_men_student,white_women_student,multi_student,multi_men_student,multi_women_student,unknown_student,unknown_men_student,unknown_women_student
Concorde Career College-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,296,3,0,3,2,0,2,25,5,20,211,32,179,0,0,0,46,5,41,4,1,3,5,1,4
Concordia University Texas,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,2,0,0,0,0,0,0,1575,13,8,5,37,7,30,208,75,133,306,108,198,0,0,0,853,323,530,0,0,0,148,58,90
Cortiva Institute-Arlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortiva Institute-Dallas,,,,,,,,,,,,,,,,,,,,,,,,,,251,4,1,3,5,1,4,91,34,57,21,8,13,35,0,35,69,14,55,1,1,0,25,3,22
Cortiva Institute-Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmetology Academy of Texarkana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmetology Career Center LLC,,,,,,,,,,,,,,,,,,,,,,,,,,248,3,1,2,7,1,6,29,5,24,55,4,51,0,0,0,151,12,139,2,0,2,0,0,0
Covenant School of Nursing and Allied Health,,,,,,,,,,,,,,,,,,,,,,,,,,309,2,0,2,7,3,4,7,3,4,54,13,41,0,0,0,225,29,196,5,1,4,9,3,6
Criswell College,,,,,,,,,,,,,,,,,,,,,,,,,,234,2,2,0,13,9,4,29,22,7,23,18,5,0,0,0,157,113,44,0,0,0,10,10,0
Culinary Institute Inc,,,,,,,,,,,,,,,,,,,,,,,,,,403,0,0,0,8,2,6,87,37,50,162,71,91,1,0,1,138,67,71,2,1,1,5,3,2
CyberTex Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Baptist University,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3513,38,13,25,55,21,34,603,197,406,379,139,240,5,1,4,2177,995,1182,0,0,0,0,0,0
Dallas Barber & Stylist College,,,,,,,,,,,,,,,,,,,,,,,,,,187,0,0,0,0,0,0,124,76,48,34,34,0,0,0,0,29,29,0,0,0,0,0,0,0
Dallas Christian College,,,,,,,,,,,,,,,,,,,,,,,,,,326,4,1,3,1,1,0,82,52,30,53,33,20,1,1,0,158,93,65,17,11,6,7,4,3
Dallas County Community College District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Institute of Funeral Service,,,,,,,,,,,,,,,,,,,,,,,,,,156,1,1,0,0,0,0,50,25,25,26,6,20,0,0,0,79,42,37,0,0,0,0,0,0
Dallas Nursing Institute,,,,,,,,,,,,,,,,,,,,,,,,,,653,2,0,2,20,6,14,402,86,316,48,7,41,0,0,0,101,13,88,23,5,18,57,10,47
Dallas Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Mar College,181,0,0,0,5,5,0,5,1,4,46,22,24,0,0,0,125,75,50,0,0,0,0,0,0,11030,182,90,92,209,95,114,394,153,241,6253,2560,3693,0,0,0,3156,1388,1768,0,0,0,553,258,295
Deluxe Barber College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVry University-Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamonds Cosmetology College,,,,,,,,,,,,,,,,,,,,,,,,,,55,2,1,1,0,0,0,5,1,4,2,0,2,0,0,0,45,3,42,0,0,0,1,0,1
DuVall's School of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,103,1,0,1,0,0,0,10,1,9,16,1,15,0,0,0,74,2,72,1,0,1,1,0,1
East Texas Baptist University,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1241,10,4,6,7,5,2,251,150,101,142,57,85,1,0,1,778,343,435,26,11,15,13,6,7
Eastfield College,,,,,,,,,,,,,,,,,,,,,,,,,,14178,73,35,38,557,277,280,3561,1087,2474,5310,2184,3126,18,11,7,4161,1752,2409,102,36,66,373,171,202
El Centro College,,,,,,,,,,,,,,,,,,,,,,,,,,11296,54,16,38,490,190,300,3545,1046,2499,4173,1446,2727,8,3,5,2502,930,1572,106,39,67,386,159,227
El Paso Community College,263,0,0,0,2,1,1,7,1,6,128,65,63,0,0,0,117,56,61,0,0,0,0,0,0,32127,115,54,61,254,113,141,726,351,375,27434,11584,15850,44,21,23,2612,1173,1439,8,3,5,306,131,175
Episcopal Theological Seminary of the Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exposito School of Hair Design,,,,,,,,,,,,,,,,,,,,,,,,,,70,0,0,0,0,0,0,2,0,2,18,1,17,0,0,0,50,3,47,0,0,0,0,0,0
Florida Career College-Houston Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Worth Beauty School,,,,,,,,,,,,,,,,,,,,,,,,,,151,0,0,0,0,0,0,23,3,20,33,2,31,0,0,0,82,1,81,0,0,0,13,1,12
Fortis College,,,,,,,,,,,,,,,,,,,,,,,,,,585,2,2,0,10,3,7,298,41,257,198,25,173,1,1,0,30,8,22,3,0,3,42,7,35
Fortis College-Grand Prairie,,,,,,,,,,,,,,,,,,,,,,,,,,328,1,0,1,13,8,5,101,21,80,144,24,120,0,0,0,63,14,49,3,0,3,3,1,2
Fortis Institute,,,,,,,,,,,,,,,,,,,,,,,,,,452,0,0,0,1,1,0,138,33,105,183,32,151,0,0,0,29,3,26,5,2,3,95,9,86
Frank Phillips College,,,,,,,,,,,,,,,,,,,,,,,,,,1197,23,8,15,5,1,4,43,21,22,263,107,156,3,2,1,715,305,410,0,0,0,134,66,68
GA Beauty & Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galen College of Nursing-San Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,920,0,0,0,11,2,9,62,10,52,200,33,167,2,0,2,154,19,135,16,2,14,475,86,389
Galveston College,27,1,1,0,1,1,0,4,1,3,4,2,2,0,0,0,17,10,7,0,0,0,0,0,0,2197,7,2,5,64,25,39,375,127,248,678,248,430,3,1,2,972,448,524,9,5,4,81,37,44
Gemini School of Visual Arts & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grayson College,,,,,,,,,,,,,,,,,,,,,,,,,,4903,108,36,72,61,25,36,300,116,184,540,208,332,6,1,5,3535,1335,2200,194,80,114,28,6,22
Guidance College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallmark University,,,,,,,,,,,,,,,,,,,,,,,,,,756,4,0,4,19,13,6,99,59,40,384,249,135,1,1,0,207,127,80,33,20,13,9,7,2
Hands on Therapy,,,,,,,,,,,,,,,,,,,,,,,,,,77,0,0,0,1,0,1,8,3,5,20,4,16,0,0,0,48,10,38,0,0,0,0,0,0
Hardin-Simmons University,104,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,103,67,36,0,0,0,0,0,0,1841,14,6,8,55,32,23,129,95,34,255,123,132,7,0,7,1230,533,697,34,16,18,87,69,18
Hill College,,,,,,,,,,,,,,,,,,,,,,,,,,4376,28,13,15,13,4,9,288,105,183,463,191,272,9,4,5,2940,1106,1834,530,208,322,92,38,54
Houston Baptist University,,,,,,,,,,,,,,,,,,,,,,,,,,2052,2,1,1,249,92,157,380,108,272,574,189,385,7,4,3,565,230,335,169,57,112,32,11,21
Houston Barber School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Community College,,,,,,,,,,,,,,,,,,,,,,,,,,58476,105,40,65,5501,2624,2877,18076,6161,11915,17901,7388,10513,159,83,76,9290,4306,4984,719,312,407,1120,506,614
Houston Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston International College Cardiotech Ultrasound School,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,0,0,16,7,9,20,7,13,7,1,6,0,0,0,15,5,10,0,0,0,0,0,0
Houston School of Carpentry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Training School-Gulfgate,,,,,,,,,,,,,,,,,,,,,,,,,,295,0,0,0,1,0,1,40,0,40,254,6,248,0,0,0,0,0,0,0,0,0,0,0,0
Houston Training School-Main Campus,,,,,,,,,,,,,,,,,,,,,,,,,,200,0,0,0,0,0,0,78,2,76,122,2,120,0,0,0,0,0,0,0,0,0,0,0,0
Houston Training Schools-Gessner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard College,,,,,,,,,,,,,,,,,,,,,,,,,,4494,14,4,10,36,13,23,155,64,91,1930,649,1281,5,3,2,2232,842,1390,101,31,70,16,8,8
Howard Payne University,,,,,,,,,,,,,,,,,,,,,,,,,,1091,7,3,4,4,0,4,82,59,23,190,97,93,2,1,1,736,342,394,46,26,20,20,18,2
Huston-Tillotson University,9,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,884,2,0,2,3,2,1,633,288,345,163,94,69,0,0,0,41,32,9,3,2,1,5,0,5
